state1,state2,distance
CT,MN,22.075201050953087
CT,MS,19.129366181345368
CT,MO,19.99906764276775
CT,MT,37.30343716924756
CT,NE,27.06793064957128
CT,NV,43.96373828747961
CT,NH,2.3561851370382607
CT,NJ,2.415223320937419
CT,NM,34.1559891546124
CT,NY,3.100186745988051
CT,NC,9.008868441707865
CT,ND,28.3442735874462
CT,OH,10.15462965597466
CT,OK,25.491201972445314
CT,OR,47.88683031784417
CT,PA,5.126545204131138
CT,RI,1.172358179056209
CT,SC,11.229479943879857
CT,SD,27.643461121212734
CT,TN,14.792366999571094
CT,TX,28.47302003037261
CT,UT,39.011830999839006
CT,VT,2.4475727752203844
CT,VA,7.371977829592272
CT,WA,48.06635539023111
CT,WV,8.439413614700959
CT,WI,17.525889078731502
CT,WY,34.85098761369611
DE,AL,12.914827359666873
DE,AK,80.76555864630666
DE,AZ,36.461371313761646
DE,AR,17.42578180168684
DE,CA,44.0016577347945
DE,CO,30.042800961295207
DE,CT,3.826829050271248
DE,DE,0.0
DE,DC,1.5117917647612813
DE,FL,12.471560082844496
DE,GA,10.163851010812786
DE,HI,83.00193196125016
DE,ID,39.47377865989017
DE,IL,13.731863917910054
DE,IN,10.814499929261641
DE,IA,18.253667884838926
DE,KS,22.880774505466373
DE,KY,9.904539485508652
DE,LA,18.29527140356218
DE,ME,8.939702055997163
DE,MD,1.287562025690411
DE,MA,4.935432188775358
DE,MI,11.261061559639929
DE,MN,20.164608086942835
DE,MS,15.481841430527574
DE,MO,16.96481352682664
DE,MT,35.06785483174015
DE,NE,24.42339618582969
DE,NV,41.127599625190875
DE,NH,6.115679358828413
DE,NJ,1.4612316893634605
DE,NM,30.948739619086272
DE,NY,3.964259941023039
DE,NC,5.183341441579939
DE,ND,26.355769559244525
DE,OH,7.403129017516855
DE,OK,22.250709538798983
DE,OR,45.32375731214261
DE,PA,2.971804403052128
DE,RI,4.776069618420561
DE,SC,7.402667036278215
DE,SD,25.315932251844885
DE,TN,11.288568944290505
DE,TX,24.982924161314664
DE,UT,36.16667964992087
DE,VT,5.818789689445729
DE,VA,3.6563792609629613
DE,WA,45.719184046087264
DE,WV,5.129565769146546
DE,WI,15.546184834228628
DE,WY,32.29563084458949
DC,AL,11.571520146030936
DC,AK,79.35703826888954
DC,AZ,34.954261324479454
DC,AR,15.942106639337217
DC,CA,42.489970699095565
DC,CO,28.533232940204993
DC,CT,5.073032426468416
DC,DE,1.5117917647612813
DC,DC,0.0
DC,FL,11.627957738141294
DC,GA,8.978487866561936
DC,HI,81.51354773140476
DC,ID,37.98992586897215
DC,IL,12.23424577977735
DC,IN,9.319006836567933
DC,IA,16.78244543235579
DC,KS,21.3697572623088
DC,KY,8.400757342049575
DC,LA,16.90998929183575
DC,ME,10.105754695716696
DC,MD,0.26661292166735845
DC,MA,6.1907795316906595
DC,MI,10.002051780009937
DC,MN,18.796025982105895
DC,MS,14.078903057411818
DC,MO,15.453215754010547
DC,MT,33.619562768126535
DC,NE,22.931450705308638
DC,NV,39.61871357944374
DC,NH,7.230541136042309
DC,NJ,2.6691631591193605
DC,NM,29.44426588336004
DC,NY,4.3087534276168595
DC,NC,4.108908414652235
DC,ND,24.957771964660626
DC,OH,5.940580124028289
DC,OK,20.747153674661007
DC,OR,43.83241555299
DC,PA,2.118747745721515
DC,RI,6.119357111658055
DC,SC,6.324526949108524
DC,SD,23.86222420898772
DC,TN,9.822040320116786
DC,TX,23.522254900625484
DC,UT,34.65785556724477
DC,VT,6.747153856997779
DC,VA,2.3043721400850137
DC,WA,44.251161707914505
DC,WV,3.6180288334948254
DC,WI,14.181569236160005
DC,WY,30.808602039203258
FL,AL,6.032330578640392
FL,AK,78.3062657534504
FL,AZ,29.750746502566955
FL,AR,11.793514204850046
FL,CA,37.99522429161327
FL,CO,25.317793989603423
FL,CT,16.226568821534638
FL,DE,12.471560082844496
FL,DC,11.627957738141294
FL,FL,0.0
FL,GA,4.132066239788513
FL,HI,74.39271929994224
FL,ID,35.79956484442234
FL,IL,13.25650012937049
FL,IN,11.897663438675673
FL,IA,17.40051760293353
FL,KS,18.736859841766428
FL,KY,9.349917828515924
FL,LA,9.853573614176723
FL,ME,21.321733714921027
FL,MD,11.86137503369656
FL,MA,17.29137822066246
FL,MI,15.992607751395642
FL,MN,21.262286128260058
FL,MS,8.3041786120001
FL,MO,13.955754730576192
FL,MT,32.83786780227973
FL,NE,21.620853231313507
FL,NV,35.816626094734275
FL,NH,18.564185033553184
FL,NJ,13.93263785684535
FL,NM,24.357790211141886
FL,NY,15.908597276315726
FL,NC,7.571937601433339
FL,ND,26.053038337207425
FL,OH,11.660775209650515
FL,OK,16.575865579812103
FL,OR,41.06641284030052
FL,PA,13.100654020696835
FL,RI,16.995841571984602
FL,SC,5.509878932426735
FL,SD,23.792515167589986
FL,TN,8.212977346249035
FL,TX,17.11958542985196
FL,UT,31.109469448384992
FL,VT,18.277382702400256
FL,VA,9.590677609011788
FL,WA,42.372765553595855
FL,WV,10.175757326115834
FL,WI,17.683879941913194
FL,WY,28.9213463256813
GA,AL,3.3889068473476804
GA,AK,75.67031225229614
GA,AZ,28.264806954408876
GA,AR,9.277545757903864
GA,CA,36.312256109473566
GA,CO,23.000756281696475
GA,CT,13.980888321204768
GA,DE,10.163851010812786
GA,DC,8.978487866561936
GA,FL,4.132066239788513
GA,GA,0.0
GA,HI,73.96917066352712
GA,ID,33.29720535600548
GA,IL,9.373917284145406
GA,IN,7.788554313221419
GA,IA,13.786357768460817
GA,KS,16.043257576938664
GA,KY,5.234610443003375
GA,LA,8.697551862449565
GA,ME,19.069250222281944
GA,MD,9.2400267932512
GA,MA,15.09519076063631
GA,MI,11.869421081080574
GA,MN,17.436342160269742
GA,MS,6.225923309036179
GA,MO,10.674258998637796
GA,MT,29.893735998198693
GA,NE,18.61581075161649
GA,NV,33.85564190382454
GA,NH,16.203539837023264
GA,NJ,11.571508660498857
GA,NM,22.73865086938977
GA,NY,13.000131573564943
GA,NC,4.993473305225535
GA,ND,22.562964717651806
GA,OH,7.672190645441495
GA,OK,14.357487233147726
GA,OR,38.795447012503935
GA,PA,9.98423900755586
GA,RI,14.930248124194048
GA,SC,2.8477674764629204
GA,SD,20.51825220456167
GA,TN,4.3360990140908875
GA,TX,15.931311923379063
GA,UT,29.00365396445765
